"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @hayleynthejets: we love supporting @OutRightIntl in helping to work to advance human rights for LGBTQ+ people all over the world <U+2764><U+FE0F><U+0001F9E1><U+0001F49B><U+0001F49A><U+0001F499>…",FALSE,0,NA,2019-06-14 17:29:08,FALSE,NA,"1139585574405398529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lionelfosters",4,TRUE,FALSE,NA,NA
"@LEVIS You can keep them. The value sucks.",FALSE,0,"LEVIS",2019-06-14 17:25:38,FALSE,"1139580770312310790","1139584696021671942","203144854","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stephentapp",0,FALSE,FALSE,NA,NA
"RT @LEVIS: Our outlet store at Empire Outlets is officially open! Come visit us today at 35B Richmond Terrace, Suite 333A | Staten Island,…",FALSE,0,NA,2019-06-14 17:22:50,FALSE,NA,"1139583992313729024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hasrulaimi1",6,TRUE,FALSE,NA,NA
"@ChauSaenz @BankofAmerica @LEVIS Much appreciation.",FALSE,0,"ChauSaenz",2019-06-14 17:22:46,FALSE,"1139342464957837312","1139583972214579202","1402732548","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SFMFoodBank",0,FALSE,FALSE,NA,NA
"@LEVIS i want to be a model for your brand. https://t.co/BsJwUmMJSy",FALSE,0,"LEVIS",2019-06-14 17:21:02,FALSE,NA,"1139583539660431360","203144854","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tashagal1",0,FALSE,FALSE,NA,NA
"RT @LEVIS: Our outlet store at Empire Outlets is officially open! Come visit us today at 35B Richmond Terrace, Suite 333A | Staten Island,…",FALSE,0,NA,2019-06-14 17:16:26,FALSE,NA,"1139582378203127808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RGONZALEZ1978",6,TRUE,FALSE,NA,NA
"RT @LEVIS: Our outlet store at Empire Outlets is officially open! Come visit us today at 35B Richmond Terrace, Suite 333A | Staten Island,…",FALSE,0,NA,2019-06-14 17:14:08,FALSE,NA,"1139581802585235456",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Leon58655831",6,TRUE,FALSE,NA,NA
"RT @LEVIS: Our outlet store at Empire Outlets is officially open! Come visit us today at 35B Richmond Terrace, Suite 333A | Staten Island,…",FALSE,0,NA,2019-06-14 17:13:57,FALSE,NA,"1139581753356509184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bhertoromero",6,TRUE,FALSE,NA,NA
"Love is love, and we will always celebrate it — PRIDE month or not <U+0001F3F3><U+FE0F><U+200D><U+0001F308> Here is some behind-the-scenes action from… https://t.co/LZ1d0T3rJk",FALSE,81,NA,2019-06-14 17:12:45,TRUE,NA,"1139581455015784448",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","UrbanDecay",3,FALSE,FALSE,NA,NA
".@LEVIS CEO Chip Bergh will take the stage at #AspenIdeas to discuss brand values and more. 

You can stay up to da… https://t.co/VyJHf0zJOE",FALSE,1,NA,2019-06-14 16:30:11,TRUE,NA,"1139570742725632001",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","AtlanticLIVE",0,FALSE,FALSE,NA,NA
