"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@thegameawards @geoffkeighley @Tesla @elonmusk Lol this is so bad. I could imagine all the drunk fucking losers wan… https://t.co/nsnrJa13Ke",FALSE,0,"thegameawards",2019-06-14 01:27:00,TRUE,"1139254109565886464","1139343446043271168","2806914710","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Not_BBx",0,FALSE,FALSE,NA,NA
"RT @StudioMDHR: It’s true!! We’re working with @Tesla to bring a special version of Cuphead to Model 3, Model S, and Model X vehicles. 

Th…",FALSE,0,NA,2019-06-14 01:26:36,FALSE,NA,"1139343346566983680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","armaroid",1039,TRUE,FALSE,NA,NA
"RT @DisruptResearch: Idea of a racing video game in a @Tesla is so simple, yet so potent. What a fun way to spend time while supercharging!…",FALSE,0,NA,2019-06-14 01:26:32,FALSE,NA,"1139343331895455755",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JiNanGlasgow",411,TRUE,FALSE,NA,NA
"@ThemeTeamWP @Renzo_Knuckles @thegameawards @Tesla @elonmusk Just curious why someone would spend their days name-s… https://t.co/8lyQ2kre2r",FALSE,0,"ThemeTeamWP",2019-06-14 01:26:28,TRUE,"1139340558550347776","1139343314057072641","835994447351590918","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sniffmypiss",0,FALSE,FALSE,NA,NA
"RT @MiaD: @vfiorese_ @miakhalifa @Tesla Lastly, Vico I wrote a blog post about this in the context of innovation years back, still relevant…",FALSE,0,NA,2019-06-14 01:26:27,FALSE,NA,"1139343310689120258",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barbarannott",2,TRUE,FALSE,NA,NA
"@MiaD @vfiorese_ @miakhalifa @Tesla Great write Mia @MiaD",FALSE,2,"MiaD",2019-06-14 01:26:25,FALSE,"1139331331706347520","1139343302078160902","1036761","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barbarannott",0,FALSE,FALSE,NA,NA
"It’d be cool if you could set up a LAN at  super chargers so people waiting while charging can race each other with… https://t.co/7wYM1FrqJ3",FALSE,3,NA,2019-06-14 01:26:20,TRUE,NA,"1139343281492570113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","piercejohnston",0,FALSE,FALSE,NA,NA
"@XerxesLeather @EthanGa27174527 @peta @Tesla @elonmusk I’ll give that one to you",FALSE,0,"XerxesLeather",2019-06-14 01:26:10,FALSE,"1139323745787469825","1139343237821288448","1137794413046968321","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","banzinger1",0,FALSE,FALSE,NA,NA
"Future owners,

What is @Tesla’s Autopilot?

It’s an advanced driver assist system, that takes the elements that ca… https://t.co/AN7jZ6cphh",FALSE,44,NA,2019-06-14 01:26:08,TRUE,NA,"1139343231257325569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TesLatino",3,FALSE,FALSE,NA,NA
"@ElectroCar @larryalevine @Andreas_Hopf @SpaceX @Tesla Say even if the worst implications of that article are in an… https://t.co/Y0OzWazoyZ",FALSE,0,"ElectroCar",2019-06-14 01:25:29,TRUE,"1139293814248660992","1139343064302964736","142368107","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cowmix",0,FALSE,FALSE,NA,NA
